Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
DeleteUser - /v2/user/QAtest,553,182,150,1328,115.59,99.819%,5.31174,1.52,1.26,292.2
TOTAL,553,182,150,1328,115.59,99.819%,5.31174,1.52,1.26,292.2
